년,총계
2017_1,15645820
2017_2,17333354
2017_3,15301454
2017_4,16066541
2018_1,14509776
2018_2,17202143
2018_3,15053454
2018_4,16065258
2019_1,14852949
2019_2,17513112
2019_3,15704984
2019_4,16488990
2020_1,13894268
2020_2,7590080
2020_3,11230868
2020_4,11733461
2021_1,10179750
2021_2,12644585
2021_3,11462500
2021_4,12523115
2022_1,11412091
2022_2,13772831
2022_3,13027497
2022_4,14009866
2023_1,13057390
2023_2,15298972
2023_3,13496563
2023_4,12854467
