년,총계
2017_1,6312365
2017_2,7177259
2017_3,6694590
2017_4,6876356
2018_1,6232046
2018_2,7235677
2018_3,6686550
2018_4,7007563
2019_1,6588803
2019_2,7393076
2019_3,6934918
2019_4,7150141
2020_1,6083180
2020_2,3677281
2020_3,5277472
2020_4,5476065
2021_1,4720825
2021_2,5804121
2021_3,5350850
2021_4,5718916
2022_1,5165164
2022_2,5991628
2022_3,5983010
2022_4,6285146
2023_1,5836573
2023_2,6662644
2023_3,6116995
2023_4,6475462
