M,D,W,L,WIN,DRAW,VS_TEAM,HOME_AWAY,PLAY_GROUND
9,11,0,0,0,0,HANHWA,A,TAEJEON
9,12,0,0,0,0,HANHWA,A,TAEJEON
9,14,0,0,0,0,SSG,A,INCHEON
9,15,0,0,0,0,SSG,A,INCHEON
9,17,0,0,0,0,DOOSAN,A,JAMSIL
9,18,0,0,0,0,KT,A,SUWON
9,19,0,0,0,0,KT,A,SUWON
9,21,0,0,0,0,KIWOOM,H,DAEGU
9,22,0,0,0,0,KIWOOM,H,DAEGU
9,23,0,0,0,0,KIA,A,KWANGJU
9,24,0,0,0,0,KIA,A,KWANGJU
9,28,0,0,0,0,LG,H,DAEGU
